APO US,ATD CN,ATZ CN,BEP-U CN,BLK US,CBOE US,CIGI CN,DE US,EQB CN,HON US,IYZ US,JPM US,MSFT US,NTR CN,SBUX US,TOI CN,TTWO US,UHS US,V US,VGT US,XFN CN,XLV US,XLY US,XMA CN,XUT CN,ZIN CN
2.5303432960033234e-09,1.737588948766411e-05,0.0,0.0,6.768506675275399e-09,1.794875038527155e-08,0.0,0.0,0.0,0.0,5.734402958896167,1.1157030160857673e-08,2.0455455038148607e-09,0.0,0.0,0.0,4.566087785651263e-09,5.7494338543545576e-08,2.0537873051534872e-08,7.49999997808391,7.5,7.49999998469918,3.8467523046348138,7.499999970699347,7.5,7.5
0.0,1.9704496438763958e-05,0.0,0.0,1.0308208280018771e-09,0.0,1.2115290107944654e-08,5.548321871384765e-09,0.0,1.380492369723596e-08,5.7344022474069725,9.056812591556884e-09,8.058517655257225e-09,1.055714560910248e-08,0.0,3.28723524095631e-09,1.7915289737824303e-08,0.0,2.5618811586025636e-08,7.499999997643325,7.5,7.499999986566698,3.846755454398601,7.5,7.499999986996565,7.499999994430091
1.52211646065048e-08,1.2348448859538647e-05,2.801499882770786e-08,5.68441931979996e-09,0.0,0.0,4.182212041958788e-09,2.4856451272259328e-08,1.6806713833139586e-08,8.16218995603607e-08,5.73439417482736,0.0,0.0,2.681012451974385e-08,2.320145898321302e-09,0.0,1.786778164661329e-08,0.0,7.835822355556354e-08,7.499999998700566,7.4999999602896565,7.499999958596236,3.846741452167978,7.499999963163474,7.4999999636427725,7.499999983369604
3.502944129207819e-07,3.2518171815969454e-05,1.7352805997683518e-08,0.0,0.0,2.0097123045598186e-07,2.890161200641561e-08,0.0,5.705511323811363e-08,0.0,5.734416228271572,7.252655628842142e-08,6.55689973670659e-08,6.085763906704678e-08,0.0,0.0,0.0,2.3100938176257024e-08,0.0,7.499999931341509,7.499999824957591,7.499999842979069,3.8467989846778767,7.5,7.499999977391381,7.5
0.0,1.1389040041696191e-05,7.826731276971977e-09,4.178457926884427e-10,0.0,0.0,5.236884363657435e-09,0.0,0.0,1.759600104511705e-09,5.734392252329339,0.0,1.8359726933203646e-09,0.0,9.353164683728599e-09,0.0,0.0,0.0,5.121024524573636e-09,7.499999983867056,7.5,7.49999997975036,3.8467409502138636,7.5,7.49999994979066,7.5
0.0,1.3334816851250098e-05,1.7521380353546778e-08,7.570913297325066e-09,0.0,3.407041038183678e-08,3.172613222482412e-08,2.161121333971172e-08,2.5261168851153926e-08,0.0,5.734392643992532,5.168052426979264e-08,1.3580578051008985e-07,0.0,0.0,4.472632854357617e-09,0.0,0.0,0.0,7.4999999993710595,7.499999996063799,7.499999959945019,3.8467460076770696,7.5,7.5,7.5
0.0,9.477612075150633e-06,0.0,0.0,0.0,1.7139420698669694e-07,0.0,0.0,1.427794890998535e-07,0.0,5.734389233354771,0.0,0.0,9.57634207175706e-08,0.0,0.0,5.33391161100516e-08,0.0,0.0,7.5,7.5,7.5,3.8467392178820883,7.5,7.4999999857149255,7.499999621248069
6.752478090565894e-08,1.2666534019226128e-05,0.0,1.874784059550591e-08,0.0,3.528519617115866e-07,0.0,0.0,7.842631977866832e-08,0.0,5.7343911192087145,4.90510661602106e-08,0.0,0.0,0.0,0.0,9.205997162503587e-08,1.1219629739156467e-07,0.0,7.499999818676013,7.499999876461995,7.5,3.846747330979082,7.5,7.5,7.5
0.0,7.867885037894918e-06,4.148266626036179e-09,0.0,0.0,3.581226287741046e-08,8.466739115364774e-09,0.0,0.0,1.2757065282614777e-08,5.734384582505798,0.0,1.6880423447940274e-08,0.0,0.0,0.0,0.0,3.721918953591974e-09,1.899156760673537e-08,7.5,7.499999994211606,7.5,3.8467343992225995,7.5,7.499999986472253,7.5
1.8299578657954285e-07,1.85251850268707e-05,0.0,3.0541061381283985e-07,0.0,6.938105732295918e-08,4.3254683688986884e-08,1.145283754985793e-07,1.239899218019591e-07,0.0,5.734395069818295,1.5788166694147288e-07,5.803935838877283e-08,7.57764917654058e-08,0.0,0.0,2.2219949196572442e-07,9.015289287664374e-08,1.0377424648766453e-07,7.499999791595926,7.499999718910952,7.499999930292418,3.8467648300593336,7.5,7.499999759446369,7.5
